time,temp
1727810361.1673517,42.8
1727810361.3359523,42.8
1727810361.452301,41.9
1727810361.5690577,43.4
1727810361.6851292,43.4
1727810361.8016403,43.4
1727810361.9631417,38.4
1727810362.118514,39.7
1727810362.2735355,39.7
1727810362.390583,36.6
1727810362.5068886,36.6
1727810362.6705298,40.6
1727810362.7881057,40.6
1727810362.90483,39.1
1727810363.0726993,39.1
1727810363.228389,41.2
1727810363.3995435,39.1
1727810363.571583,39.1
1727810363.7362008,34.7
1727810363.850385,38.7
1727810363.9671981,38.7
1727810364.0836663,38.9
1727810364.2449214,38.9
1727810364.3612945,37.1
1727810364.5328882,37.1
1727810364.646269,41.8
1727810364.762302,41.8
1727810364.9188998,37.5
1727810365.0350318,37.5
1727810365.1481974,41.9
1727810365.3088455,41.9
1727810365.4685347,38.7
1727810365.580614,42.5
1727810365.7352593,42.5
1727810365.8935106,37.2
1727810366.0520854,37.2
1727810366.2106614,37.5
1727810366.369038,41.4
1727810366.5231738,41.4
1727810366.6348672,38.8
1727810366.7472434,38.8
1727810366.8596437,39.0
1727810367.01332,39.0
1727810367.1250207,38.3
1727810367.2377193,38.3
1727810367.348446,41.2
1727810367.4598339,41.2
1727810367.5713353,39.2
1727810367.7271585,39.2
1727810367.885254,39.5
1727810368.042381,39.5
1727810368.1545072,37.8
1727810368.3145494,37.8
1727810368.4716158,43.9
1727810368.5859244,38.1
1727810368.7525947,38.1
1727810368.8685591,40.7
1727810369.0339446,40.7
1727810369.1886082,39.9
1727810369.3523765,39.9
1727810369.466557,44.2
1727810369.6338227,39.9
1727810369.7945063,39.9
1727810369.9636147,43.5
1727810370.1240122,41.1
1727810370.2397234,41.1
1727810370.3976834,44.4
1727810370.5539265,44.4
1727810370.7174807,41.8
1727810370.8338082,40.9
1727810370.952111,40.9
1727810371.1222668,38.3
1727810371.2853239,38.3
1727810371.4438481,38.5
1727810371.6139722,38.5
1727810371.7701066,40.1
1727810371.9403708,40.3
1727810372.055796,40.3
1727810372.2232926,39.2
1727810372.3400443,41.6
1727810372.4569948,41.6
1727810372.619408,36.3
1727810372.7913973,36.3
1727810372.9075427,39.8
1727810373.0788713,39.8
1727810373.234985,40.7
1727810373.3520355,34.5
1727810373.4689384,34.5
1727810373.5838547,40.7
1727810373.7494626,40.7
1727810373.9053469,44.2
1727810374.0681074,44.2
1727810374.183253,38.8
1727810374.2991881,38.8
1727810374.4148586,40.0
1727810374.53076,40.0
1727810374.6435294,43.1
1727810374.7583003,43.1
1727810374.8748143,40.1
1727810375.0391483,40.1
1727810375.1533928,37.8
1727810375.269813,37.8
1727810375.433681,39.4
1727810375.5475888,39.4
1727810375.6646292,43.6
1727810375.833819,43.6
1727810376.0056412,39.3
1727810376.12182,42.2
1727810376.289887,42.2
1727810376.4610236,39.5
1727810376.6202624,37.0
1727810376.7366679,37.0
1727810376.853263,36.9
1727810376.9688146,36.9
1727810377.0838306,42.6
1727810377.2445052,42.6
1727810377.3616433,38.6
1727810377.5184174,38.6
1727810377.673493,37.1
1727810377.7902153,37.1
1727810377.9585931,39.7
1727810378.075237,42.1
1727810378.1914747,42.1
1727810378.3565907,42.1
1727810378.519598,39.9
1727810378.6765523,40.2
1727810378.7934976,40.2
1727810378.9080074,39.9
1727810379.0198581,39.9
1727810379.1343262,42.4
1727810379.250051,42.4
1727810379.364942,40.2
1727810379.4804823,40.2
1727810379.6462297,41.4
1727810379.7618036,41.4
1727810379.9288487,46.0
1727810380.0867743,46.0
1727810380.2030413,38.1
1727810380.32017,45.1
1727810380.4366615,45.1
1727810380.5513008,45.1
1727810380.6643467,43.2
1727810380.781535,43.2
1727810380.9483743,41.5
1727810381.1029973,37.6
1727810381.2600927,37.6
1727810381.4317644,44.7
1727810381.5479395,44.7
1727810381.6598003,36.6
1727810381.7720838,36.6
1727810381.8840175,40.4
1727810382.0415955,40.4
1727810382.154296,40.5
1727810382.3098245,40.5
1727810382.4225395,41.1
1727810382.5783248,41.1
1727810382.7366908,41.6
1727810382.8491805,39.7
1727810382.9609385,39.7
1727810383.116454,40.6
1727810383.228155,40.6
1727810383.3400006,44.5
1727810383.4972718,44.5
1727810383.6549208,41.7
1727810383.8121424,41.7
1727810383.9821239,42.8
1727810384.096616,41.7
1727810384.2125778,41.7
1727810384.3733463,40.7
1727810384.4896507,40.7
1727810384.6492684,43.3
1727810384.8081782,43.3
1727810384.9237404,44.2
1727810385.0929172,44.2
1727810385.209372,46.1
1727810385.3254085,39.0
1727810385.440441,39.0
1727810385.6091714,39.0
1727810385.770584,43.7
1727810385.9372036,41.1
1727810386.1009436,41.1
1727810386.263032,42.9
1727810386.379723,39.5
1727810386.5453832,39.5
1727810386.7003598,43.1
1727810386.8571997,35.3
1727810387.013033,35.3
1727810387.1258914,43.9
1727810387.2406688,43.9
1727810387.409136,37.3
1727810387.5220032,37.3
1727810387.677213,44.0
1727810387.7935178,44.0
1727810387.95276,41.5
